news_id,title,symbol,published_ts,source,sentiment_label,urgency_label,notes
gs001,"NTT決算発表、純利益前年比32%増 — 通期予想を上方修正",9432.T,2026-01-15T09:00:00Z,google_news_rss,bullish,0.8,earnings beat + raised guidance
gs002,"ソフトバンクグループ、孫氏が大規模リストラ計画を発表 — 社員3000人削減",9984.T,2026-01-10T06:30:00Z,google_news_rss,bearish,0.9,mass layoff announcement
gs003,"トヨタ自動車、EV新モデル発表 — 2027年に北米市場へ投入予定",7203.T,2026-01-20T08:00:00Z,tdnet,bullish,0.5,product roadmap, moderate urgency
gs004,"三菱UFJ、不良債権比率が業界最低水準に改善",8306.T,2026-01-18T10:00:00Z,google_news_rss,bullish,0.4,gradual positive signal
gs005,"東京電力、原子力規制委員会の検査で指摘事項 — 株価一時3%下落",9501.T,2026-01-22T11:00:00Z,tdnet,bearish,0.8,regulatory issue
gs006,"ソニーグループ、ゲーム部門売上が予想を下回る",6758.T,2026-01-25T07:30:00Z,google_news_rss,bearish,0.6,earnings miss
gs007,"任天堂、新型ゲーム機の予約受付開始 — 初日で100万台突破",7974.T,2026-01-28T09:15:00Z,google_news_rss,bullish,0.7,strong product launch
gs008,"信越化学工業、半導体市況の影響で受注が横ばい",4063.T,2026-01-12T08:45:00Z,tdnet,neutral,0.3,flat guidance
gs009,"KDDI、5G基地局の整備目標を達成 — 予定通りの進捗",9433.T,2026-01-14T10:30:00Z,google_news_rss,neutral,0.2,in-line with expectations
gs010,"ファナック、中国向け工作機械の受注が前期比20%減",6954.T,2026-01-16T08:00:00Z,tdnet,bearish,0.7,China demand weakness
gs011,"富士フイルム、医療機器部門の売上が過去最高を更新",4901.T,2026-01-19T09:30:00Z,google_news_rss,bullish,0.6,record segment revenue
gs012,"大和証券グループ、自己株式取得を発表 — 上限500億円",8601.T,2026-01-21T10:00:00Z,tdnet,bullish,0.5,buyback positive signal
gs013,"オリエンタルランド、TDR入場者数が過去最高水準",4661.T,2026-01-23T08:30:00Z,google_news_rss,bullish,0.4,operational strength
gs014,"川崎重工業、潜水艦機密漏洩問題で社内調査を実施中",7012.T,2026-01-26T11:00:00Z,tdnet,bearish,0.9,governance scandal
